month,level_1,value
1991-01,M3,82388.3
1991-02,M3,82666.3
1991-03,M3,83606.2
1991-04,M3,84332.7
1991-05,M3,85458
1991-06,M3,86534.4
1991-07,M3,88757.6
1991-08,M3,88219
1991-09,M3,89209.1
1991-10,M3,89236.3
1991-11,M3,90672.8
1991-12,M3,91682.3
1992-01,M3,91901.2
1992-02,M3,92450.5
1992-03,M3,94440.3
1992-04,M3,95390.3
1992-05,M3,96352.4
1992-06,M3,97431
1992-07,M3,99088
1992-08,M3,99381.1
1992-09,M3,99932.8
1992-10,M3,100162.8
1992-11,M3,100484.7
1992-12,M3,100401.8
1993-01,M3,99619.6
1993-02,M3,100226.1
1993-03,M3,101472.8
1993-04,M3,102302.6
1993-05,M3,103869.1
1993-06,M3,103707.8
1993-07,M3,104388.6
1993-08,M3,105498.7
1993-09,M3,106477.9
1993-10,M3,109538.9
1993-11,M3,109426.6
1993-12,M3,110183.6
1994-01,M3,108528.2
1994-02,M3,109707.9
1994-03,M3,111276
1994-04,M3,112730.4
1994-05,M3,114535.2
1994-06,M3,115952.5
1994-07,M3,118069.9
1994-08,M3,119384.5
1994-09,M3,121208.3
1994-10,M3,121871.6
1994-11,M3,123727.4
1994-12,M3,124818.9
1995-01,M3,124865.8
1995-02,M3,125986.7
1995-03,M3,126258
1995-04,M3,127589.3
1995-05,M3,130187.8
1995-06,M3,131287.1
1995-07,M3,130703.5
1995-08,M3,132079.4
1995-09,M3,132637.3
1995-10,M3,133052.9
1995-11,M3,135504.1
1995-12,M3,135761.3
1996-01,M3,134362.9
1996-02,M3,135907.5
1996-03,M3,138036.4
1996-04,M3,139635.9
1996-05,M3,141317.7
1996-06,M3,142371.1
1996-07,M3,144373
1996-08,M3,144823.6
1996-09,M3,145047.5
1996-10,M3,144712.5
1996-11,M3,147028.1
1996-12,M3,147484.1
1997-01,M3,147791
1997-02,M3,149674.7
1997-03,M3,153036.7
1997-04,M3,154937.2
1997-05,M3,156077.3
1997-06,M3,156521.1
1997-07,M3,157934.1
1997-08,M3,158601.8
1997-09,M3,158941.5
1997-10,M3,159286
1997-11,M3,159777.7
1997-12,M3,159788.5
1998-01,M3,159015.7
1998-02,M3,162236.4
1998-03,M3,163953.5
1998-04,M3,164061.9
1998-05,M3,165795.6
1998-06,M3,165657.3
1998-07,M3,168349.4
1998-08,M3,169122.7
1998-09,M3,170712.5
1998-10,M3,171432.3
1998-11,M3,171122
1998-12,M3,172849.7
1999-01,M3,172564
1999-02,M3,173490.5
1999-03,M3,174696.9
1999-04,M3,176167.1
1999-05,M3,178536.2
1999-06,M3,179615.2
1999-07,M3,180784.4
1999-08,M3,182559.7
1999-09,M3,183357.5
1999-10,M3,182589
1999-11,M3,182548.1
1999-12,M3,185296.4
2000-01,M3,184203.7
2000-02,M3,183833.6
2000-03,M3,183151.3
2000-04,M3,180876.5
2000-05,M3,181633.5
2000-06,M3,183283.1
2000-07,M3,181933
2000-08,M3,181455.3
2000-09,M3,179975.3
2000-10,M3,178957.4
2000-11,M3,181234.1
2000-12,M3,182024.1
2001-01,M3,182130.7
2001-02,M3,183395.2
2001-03,M3,184569.3
2001-04,M3,186644.5
2001-05,M3,186425.7
2001-06,M3,184821.2
2001-07,M3,181347.8
2001-08,M3,182797.8
2001-09,M3,186143.2
2001-10,M3,186616.2
2001-11,M3,191632.4
2001-12,M3,189475.9
2002-01,M3,187857.1
2002-02,M3,187697.2
2002-03,M3,190334
2002-04,M3,189388.2
2002-05,M3,189072.1
2002-06,M3,188654.3
2002-07,M3,187913.3
2002-08,M3,186874.1
2002-09,M3,186808.4
2002-10,M3,187559.4
2002-11,M3,189070
2002-12,M3,188235.8
2003-01,M3,188447.1
2003-02,M3,189411.1
2003-03,M3,190277.1
2003-04,M3,190949.5
2003-05,M3,191357.3
2003-06,M3,191769.6
2003-07,M3,192771.7
2003-08,M3,193963.5
2003-09,M3,193292.3
2003-10,M3,200008.3
2003-11,M3,199729.6
2003-12,M3,199710.1
2004-01,M3,204493.1
2004-02,M3,205158.9
2004-03,M3,205581
2004-04,M3,208920.3
2004-05,M3,209060.5
2004-06,M3,209481.9
2004-07,M3,209363.3
2004-08,M3,209329.3
2004-09,M3,207180.6
2004-10,M3,209160.1
2004-11,M3,210390.1
2004-12,M3,212245.4
2005-01,M3,209993.6
2005-02,M3,210864
2005-03,M3,214482.7
2005-04,M3,215785.7
2005-05,M3,215509.8
2005-06,M3,218882.8
2005-07,M3,220362.6
2005-08,M3,221791.9
2005-09,M3,224249.6
2005-10,M3,226403.8
2005-11,M3,226902.7
2005-12,M3,226151.3
2006-01,M3,224185.5
2006-02,M3,229366.6
2006-03,M3,232563.5
2006-04,M3,236304.4
2006-05,M3,241510
2006-06,M3,243054.3
2006-07,M3,243883.2
2006-08,M3,250057.9
2006-09,M3,252394.2
2006-10,M3,258240.3
2006-11,M3,262899.4
2006-12,M3,269620.4
2007-01,M3,272582.4
2007-02,M3,278593.5
2007-03,M3,285529.3
2007-04,M3,290556.6
2007-05,M3,295257.4
2007-06,M3,300236.2
2007-07,M3,299924.3
2007-08,M3,301353.1
2007-09,M3,303795.9
2007-10,M3,306416.8
2007-11,M3,308270.8
2007-12,M3,307972
2008-01,M3,308538.2
2008-02,M3,314761.3
2008-03,M3,321558.3
2008-04,M3,326184.6
2008-05,M3,321762.1
2008-06,M3,323882.7
2008-07,M3,329000.8
2008-08,M3,327614.4
2008-09,M3,334854.7
2008-10,M3,342759.9
2008-11,M3,343754
2008-12,M3,343894.8
2009-01,M3,346022.5
2009-02,M3,348544.6
2009-03,M3,356490.1
2009-04,M3,355711.7
2009-05,M3,356154.2
2009-06,M3,363292.2
2009-07,M3,365782.4
2009-08,M3,366231.9
2009-09,M3,369933.9
2009-10,M3,372083.8
2009-11,M3,375560.7
2009-12,M3,380109.2
2010-01,M3,381741.5
2010-02,M3,379793
2010-03,M3,385294.8
2010-04,M3,385103.9
2010-05,M3,386593.6
2010-06,M3,388924.9
2010-07,M3,392022.6
2010-08,M3,394792
2010-09,M3,398756.7
2010-10,M3,407777.9
2010-11,M3,411187.7
2010-12,M3,411644.2
2011-01,M3,412128.6
2011-02,M3,413513.8
2011-03,M3,418491.9
2011-04,M3,426770.3
2011-05,M3,427994.3
2011-06,M3,430870.7
2011-07,M3,438786.1
2011-08,M3,439130
2011-09,M3,443702
2011-10,M3,449776.1
2011-11,M3,452732
2011-12,M3,453049.2
2012-01,M3,453852.2
2012-02,M3,453640.3
2012-03,M3,459996.4
2012-04,M3,455627.3
2012-05,M3,458687.3
2012-06,M3,461211.6
2012-07,M3,466764.1
2012-08,M3,472647.4
2012-09,M3,472811.4
2012-10,M3,475765.2
2012-11,M3,482439.6
2012-12,M3,487095.5
2013-01,M3,494302.8
2013-02,M3,498138.6
2013-03,M3,500077.6
2013-04,M3,500429.2
2013-05,M3,504969.9
2013-06,M3,504221.6
2013-07,M3,501747.3
2013-08,M3,506521.7
2013-09,M3,508545.6
2013-10,M3,508927.3
2013-11,M3,507015.1
2013-12,M3,507818.4
2014-01,M3,510309.3
2014-02,M3,509901.6
2014-03,M3,509089.5
2014-04,M3,507224.7
2014-05,M3,504169.6
2014-06,M3,507523.9
2014-07,M3,510321.2
2014-08,M3,515039.2
2014-09,M3,518837.9
2014-10,M3,519519.1
2014-11,M3,520158.4
2014-12,M3,524795.8
2015-01,M3,526935.2
2015-02,M3,526558.4
2015-03,M3,529820.1
2015-04,M3,531260.7
2015-05,M3,530023.6
2015-06,M3,526296.4
2015-07,M3,524277.9
2015-08,M3,525076.9
2015-09,M3,535885.6
2015-10,M3,534885.8
2015-11,M3,535484.9
2015-12,M3,533247.5
2016-01,M3,532523.8
2016-02,M3,533216.6
2016-03,M3,542245.6
2016-04,M3,546148.4
2016-05,M3,546849.2
2016-06,M3,548309.3
2016-07,M3,553116.5
2016-08,M3,557814.9
2016-09,M3,562658.5
2016-10,M3,569659.2
2016-11,M3,572795.9
2016-12,M3,574017.5
2017-01,M3,574580.9
2017-02,M3,575432.9
2017-03,M3,581415.7
2017-04,M3,582194.8
2017-05,M3,584391.5
2017-06,M3,586289.7
2017-07,M3,588981.4
2017-08,M3,590358.5
2017-09,M3,592779.2
2017-10,M3,594984.9
2017-11,M3,591057.3
2017-12,M3,592389.5
2018-01,M3,596409.8
2018-02,M3,595152.1
2018-03,M3,597541.3
2018-04,M3,601207.2
2018-05,M3,601488.1
2018-06,M3,601947.6
2018-07,M3,604950.4
2018-08,M3,611839.4
2018-09,M3,613114.9
2018-10,M3,612898.6
2018-11,M3,611762.9
2018-12,M3,615570.7
2019-01,M3,618073.8
2019-02,M3,621125
2019-03,M3,626828.8
2019-04,M3,631947.6
2019-05,M3,634154.1
2019-06,M3,634499.6
2019-07,M3,635142.7
2019-08,M3,639218.5
2019-09,M3,643397.3
2019-10,M3,642937.6
2019-11,M3,648654.4
2019-12,M3,647244.1
2020-01,M3,654714.1
2020-02,M3,661152.1
2020-03,M3,669917.8
